Entity,Type,Source_URL
habitat,ORG,https://www.britannica.com/science/habitat-loss
Habitat,ORG,https://www.britannica.com/science/habitat-loss
Caribbean,LOC,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Atlantic,LOC,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
South America,LOC,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Mediterranean,LOC,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Cameroon,GPE,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Lake Victoria,GPE,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Madagascar,GPE,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Southeast Asia,LOC,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
annually,DATE,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Elon Musk,PERSON,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Jeff Bezos,PERSON,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Mark Zuckerberg,PERSON,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Earth,LOC,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Nature Reviews Biodiversity,ORG,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
the IUCN Red List,ORG,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
Rikki Gumbs,PERSON,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
the Zoological Society of London’s Institute of Zoology,ORG,https://news.mongabay.com/2025/07/more-than-10000-species-on-brink-of-extinction-need-urgent-action-study/
